Субъект РФ;Вид обращения;Количество записей;%
Хабаровский край;Записей не через ЕПГУ;;
Хабаровский край;Всего записей;8995;100.00
Ханты-Мансийский автономный округ - Югра;EПГУ;55051;100.00
Ханты-Мансийский автономный округ - Югра;РПГУ;;
Ханты-Мансийский автономный округ - Югра;Регистратура;;
Ханты-Мансийский автономный округ - Югра;Инфомат;;
Ханты-Мансийский автономный округ - Югра;Call center;;
Ханты-Мансийский автономный округ - Югра;АРМ медработника;;
Ханты-Мансийский автономный округ - Югра;Прочие;;
Ханты-Мансийский автономный округ - Югра;Записей не через ЕПГУ;;
Ханты-Мансийский автономный округ - Югра;Всего записей;55051;100.00
Челябинская область;EПГУ;65158;10.40
Челябинская область;РПГУ;9594;1.53
Челябинская область;Регистратура;130862;20.88
Челябинская область;Инфомат;131;0.02
Челябинская область;Call center;148224;23.65
Челябинская область;АРМ медработника;272802;43.52
Челябинская область;Прочие;;
Челябинская область;Записей не через ЕПГУ;561613;89.60
Челябинская область;Всего записей;626771;100.00
Чеченская Республика;EПГУ;42;3.35
Чеченская Республика;РПГУ;;
Чеченская Республика;Регистратура;911;72.71
Чеченская Республика;Инфомат;;
Чеченская Республика;Call center;76;6.07
Чеченская Республика;АРМ медработника;224;17.88
Чеченская Республика;Прочие;;
Чеченская Республика;Записей не через ЕПГУ;1211;96.65
Чеченская Республика;Всего записей;1253;100.00
Чувашская Республика;EПГУ;31053;94.66
Чувашская Республика;РПГУ;;
Чувашская Республика;Регистратура;646;1.97
Чувашская Республика;Инфомат;;
Чувашская Республика;Call center;856;2.61
Чувашская Республика;АРМ медработника;;
Чувашская Республика;Прочие;251;0.77
Чувашская Республика;Записей не через ЕПГУ;1753;5.34
Чувашская Республика;Всего записей;32806;100.00
Чукотский автономный округ;EПГУ;22;100.00
Чукотский автономный округ;РПГУ;;
Чукотский автономный округ;Регистратура;;
Чукотский автономный округ;Инфомат;;
Чукотский автономный округ;Call center;;
Чукотский автономный округ;АРМ медработника;;
Чукотский автономный округ;Прочие;;
Чукотский автономный округ;Записей не через ЕПГУ;;
Чукотский автономный округ;Всего записей;22;100.00
Ямало-Ненецкий автономный округ;EПГУ;16230;31.55
Ямало-Ненецкий автономный округ;РПГУ;3793;7.37
Ямало-Ненецкий автономный округ;Регистратура;8916;17.33
Ямало-Ненецкий автономный округ;Инфомат;262;0.51
Ямало-Ненецкий автономный округ;Call center;250;0.49
Ямало-Ненецкий автономный округ;АРМ медработника;18948;36.83
Ямало-Ненецкий автономный округ;Прочие;3048;5.92
Ямало-Ненецкий автономный округ;Записей не через ЕПГУ;35217;68.45
Ямало-Ненецкий автономный округ;Всего записей;51447;100.00
Ярославская область;EПГУ;24761;11.74
Ярославская область;РПГУ;163069;77.29
Ярославская область;Регистратура;10111;4.79
Ярославская область;Инфомат;8461;4.01
Ярославская область;Call center;4586;2.17
Ярославская область;АРМ медработника;;
Ярославская область;Прочие;;
Ярославская область;Записей не через ЕПГУ;186227;88.26
Ярославская область;Всего записей;210988;100.00
